districtNumber;districtName;orderList;name;age;nomParty;membParty;votes;votesShare
14;Moravskoslezskı;6;Podhajskı Petr;30;LEV 21;LEV 21;12;2,82
14;Moravskoslezskı;7;Janeba Radim;35;LEV 21;LEV 21;8;1,88
14;Moravskoslezskı;8;Skláø Antonín;33;LEV 21;LEV 21;23;5,41
14;Moravskoslezskı;9;Nováková Zuzana;33;LEV 21;LEV 21;6;1,41
14;Moravskoslezskı;10;Veèeøa Igor;54;LEV 21;LEV 21;6;1,41
14;Moravskoslezskı;11;Karfík Karel;50;LEV 21;LEV 21;12;2,82
14;Moravskoslezskı;12;Waniek Jaroslav;47;LEV 21;LEV 21;9;2,11
14;Moravskoslezskı;13;Krmelová Irena;47;LEV 21;LEV 21;8;1,88
14;Moravskoslezskı;14;David Zargon Jiøí;40;LEV 21;LEV 21;13;3,05
14;Moravskoslezskı;15;Ferenc Zdenìk;48;LEV 21;LEV 21;5;1,17
14;Moravskoslezskı;16;Podhajská Lucie;31;LEV 21;LEV 21;10;2,35
14;Moravskoslezskı;17;Veèeøa Václav;23;LEV 21;LEV 21;6;1,41
14;Moravskoslezskı;18;Bojdová Soòa;39;LEV 21;LEV 21;10;2,35
14;Moravskoslezskı;19;Šturala Martin;26;LEV 21;LEV 21;14;3,29
14;Moravskoslezskı;20;Michálek Augustin;34;LEV 21;LEV 21;10;2,35
14;Moravskoslezskı;21;Vlèková Pavlína;45;LEV 21;LEV 21;6;1,41
14;Moravskoslezskı;22;Urban Jan;29;LEV 21;LEV 21;4;0,94
14;Moravskoslezskı;23;Èekalská Michaela;37;LEV 21;LEV 21;5;1,17
14;Moravskoslezskı;24;Liška Richard;46;LEV 21;LEV 21;5;1,17
14;Moravskoslezskı;25;Kabilka Miroslav;56;LEV 21;LEV 21;1;0,23
14;Moravskoslezskı;26;Mindek Milan;29;LEV 21;LEV 21;7;1,64
14;Moravskoslezskı;27;Mrosek Martin;48;LEV 21;LEV 21;10;2,35
14;Moravskoslezskı;28;Ševìèková Lenka;32;LEV 21;LEV 21;7;1,64
14;Moravskoslezskı;29;Dostálová Erika;38;LEV 21;LEV 21;5;1,17
14;Moravskoslezskı;30;Ševìèek Vladimír;35;LEV 21;LEV 21;5;1,17
14;Moravskoslezskı;31;Huplíková Zuzana;23;LEV 21;LEV 21;7;1,64
14;Moravskoslezskı;32;Suchanková Lenka;26;LEV 21;LEV 21;6;1,41
14;Moravskoslezskı;33;Hertl Ladislav;42;LEV 21;LEV 21;5;1,17
14;Moravskoslezskı;34;Moiseev Jana;25;LEV 21;LEV 21;10;2,35
